<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZYBT.US,D,20250107,000000,3.77,6.1,3.7,4.86,1864800,0
ZYBT.US,D,20250108,000000,4.81,5.849,4.14,4.5,568184,0
ZYBT.US,D,20250110,000000,4.39,5.2,4.2,4.6162,502184,0
ZYBT.US,D,20250113,000000,4.7,4.97,4.3578,4.47,261148,0
ZYBT.US,D,20250114,000000,4.4,4.5,4.26,4.35,611898,0
ZYBT.US,D,20250115,000000,4.39,4.4,4.2,4.34,76741,0
ZYBT.US,D,20250116,000000,4.34,4.69,4.12,4.69,444786,0
ZYBT.US,D,20250117,000000,4.64,4.88,4.6,4.73,26061,0
ZYBT.US,D,20250121,000000,4.5328,4.65,4.2,4.35,13733,0
ZYBT.US,D,20250122,000000,4.5,4.585,4.21,4.45,41227,0
ZYBT.US,D,20250123,000000,4.5,4.7,4.3601,4.48,51559,0
ZYBT.US,D,20250124,000000,4.415,4.48,4.2,4.27,47264,0
ZYBT.US,D,20250127,000000,4.26,4.49,4.2183,4.49,15903,0
ZYBT.US,D,20250128,000000,4.35,4.43,4,4.21,45861,0
ZYBT.US,D,20250129,000000,4.1,4.7656,3.95,4.53,93452,0
ZYBT.US,D,20250130,000000,4.29,4.52,4.13,4.42,25846,0
ZYBT.US,D,20250131,000000,4.62,4.705,4.09,4.59,21680,0
ZYBT.US,D,20250203,000000,4.44,4.5,4.26,4.32,16971,0
ZYBT.US,D,20250204,000000,4.32,4.4,4,4.3,21193,0
ZYBT.US,D,20250205,000000,4.22,4.305,4.05,4.16,13192,0
ZYBT.US,D,20250206,000000,4.2,4.34,4.0041,4.18,19164,0
ZYBT.US,D,20250207,000000,4.33,4.44,4.21,4.21,26284,0
ZYBT.US,D,20250210,000000,4.21,4.46,4.21,4.35,29207,0
ZYBT.US,D,20250211,000000,4.44,4.51,4.23,4.27,6820,0
ZYBT.US,D,20250212,000000,4.45,4.58,4.28,4.33,11761,0
ZYBT.US,D,20250213,000000,4.3,5.2,4.2025,4.94,73444,0
