<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MNDR.US,D,20240410,000000,4.79,8.79,4.79,6.7,5766654,0
MNDR.US,D,20240411,000000,6.95,12.29,6.7113,10.2,10480773,0
MNDR.US,D,20240412,000000,11.57,16,10.17,15,10659967,0
MNDR.US,D,20240415,000000,14.53,21.5,14.53,16.65,10920717,0
MNDR.US,D,20240416,000000,18.74,19.1,16.01,18,4435312,0
MNDR.US,D,20240417,000000,17.43,19.7,17.43,18.1,2643001,0
MNDR.US,D,20240418,000000,18.1,21.74,17.97,20.37,5047016,0
MNDR.US,D,20240419,000000,22.3,29.5,22.3,27.24,10073925,0
MNDR.US,D,20240422,000000,24.51,26.64,22.3,23.85,2994995,0
MNDR.US,D,20240423,000000,24,24.4,23,23,3191976,0
MNDR.US,D,20240424,000000,23.13,27.4599,22.78,23.88,6116404,0
MNDR.US,D,20240425,000000,24.71,25.04,22,23.78,1475513,0
MNDR.US,D,20240426,000000,23.25,24.37,22.9,23.99,1034995,0
MNDR.US,D,20240429,000000,23.3,24.5,23,24.3,603912,0
MNDR.US,D,20240430,000000,24,26,21.54,24.65,4138283,0
MNDR.US,D,20240501,000000,23.98,24.3,7.88,21.43,2489028,0
MNDR.US,D,20240502,000000,21,25.99,20.2,22.07,5035191,0
MNDR.US,D,20240503,000000,23.26,23.6,2.92,3.39,18763711,0
MNDR.US,D,20240506,000000,3.2,3.46,2.45,2.56,10056878,0
MNDR.US,D,20240507,000000,2.58,3.18,2.31,2.77,9130837,0
MNDR.US,D,20240508,000000,2.67,2.69,2.46,2.48,1937116,0
MNDR.US,D,20240509,000000,2.42,2.42,2.21,2.29,1411652,0
MNDR.US,D,20240510,000000,2.56,2.58,2.31,2.47,2228009,0
MNDR.US,D,20240513,000000,2.36,2.45,2.3,2.42,948389,0
MNDR.US,D,20240514,000000,2.33,2.39,2.2,2.29,1218383,0
MNDR.US,D,20240515,000000,2.25,2.48,2.1492,2.27,1467386,0
MNDR.US,D,20240516,000000,2.33,2.33,2.08,2.12,934691,0
MNDR.US,D,20240517,000000,2.1,2.1098,1.92,2.02,1282079,0
MNDR.US,D,20240520,000000,1.99,1.99,1.82,1.93,1333609,0
MNDR.US,D,20240521,000000,2.01,2.71,1.77,1.8,9301502,0
MNDR.US,D,20240522,000000,1.75,1.84,1.64,1.81,1419508,0
MNDR.US,D,20240523,000000,1.82,1.91,1.74,1.83,776564,0
MNDR.US,D,20240524,000000,1.79,1.8,1.75,1.8,304544,0
