<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLSKW.US,D,20241105,000000,0.0255,0.04,0.0255,0.0255,7152,0
CLSKW.US,D,20241106,000000,0.04,0.1123,0.04,0.078,639591,0
CLSKW.US,D,20241107,000000,0.0972,0.26,0.08,0.14,2409515,0
CLSKW.US,D,20241118,000000,0.2101,0.3718,0.16,0.18,3760620,0
CLSKW.US,D,20241119,000000,0.2699,0.4,0.202,0.38,3369065,0
CLSKW.US,D,20241120,000000,0.51,0.92,0.51,0.69,3496252,0
CLSKW.US,D,20241121,000000,0.9,1.63,0.45,0.68,7139714,0
CLSKW.US,D,20241122,000000,0.9497,1,0.770001,1,1310589,0
CLSKW.US,D,20241125,000000,1.3,1.33,1.05,1.13,1451806,0
CLSKW.US,D,20241126,000000,1.12,1.25,0.91,1.09,900003,0
CLSKW.US,D,20241127,000000,1,1.19,0.92,1.15,881863,0
CLSKW.US,D,20241129,000000,1.2,1.24,1.11,1.19,844851,0
CLSKW.US,D,20241202,000000,1.24,1.32,1.11,1.24,1059799,0
CLSKW.US,D,20241203,000000,1.19,1.1995,1.02,1.15,634574,0
CLSKW.US,D,20241204,000000,1.19,1.25,1.03,1.25,728318,0
CLSKW.US,D,20241205,000000,1.3,1.3,1.025,1.2,655761,0
CLSKW.US,D,20241206,000000,1.2,1.21,1.07,1.14,429267,0
CLSKW.US,D,20241209,000000,1.1,1.13,0.98,1.01,459923,0
CLSKW.US,D,20241210,000000,1.06,1.06,0.92,0.95,329986,0
CLSKW.US,D,20241211,000000,0.97,1.05,0.91,1.05,449591,0
CLSKW.US,D,20241212,000000,1.06,1.08,0.95,0.978,260486,0
CLSKW.US,D,20241213,000000,0.88,1.1,0.88,1.04,408343,0
CLSKW.US,D,20241216,000000,1.04,1.1,0.9911,0.9913,278809,0
CLSKW.US,D,20241217,000000,0.992,1.02,0.94,0.97,154765,0
CLSKW.US,D,20241218,000000,0.95,1,0.801,0.811,431557,0
CLSKW.US,D,20241219,000000,0.9,0.98,0.62,0.7,649644,0
CLSKW.US,D,20241220,000000,0.798,0.8,0.6,0.7669,369726,0
CLSKW.US,D,20241223,000000,0.87,0.92,0.72,0.77,252364,0
CLSKW.US,D,20241224,000000,0.85,0.95,0.8223,0.95,230413,0
CLSKW.US,D,20241226,000000,0.99,0.99,0.9,0.93,62580,0
CLSKW.US,D,20241227,000000,0.9679,0.973,0.785,0.785,155189,0
CLSKW.US,D,20241230,000000,0.785,0.83,0.72,0.82,169387,0
CLSKW.US,D,20241231,000000,0.84,0.945,0.72,0.72,147650,0
CLSKW.US,D,20250102,000000,0.938,0.938,0.7,0.7322,142878,0
CLSKW.US,D,20250103,000000,0.744999,0.8379,0.73,0.79,372247,0
CLSKW.US,D,20250106,000000,0.83,0.83,0.76,0.8099,198543,0
CLSKW.US,D,20250107,000000,0.824,0.863,0.7816,0.83,314247,0
CLSKW.US,D,20250108,000000,0.78,0.92,0.764,0.898751,715006,0
CLSKW.US,D,20250110,000000,0.89,0.92,0.8,0.8529,263673,0
CLSKW.US,D,20250113,000000,0.8529,0.863,0.72,0.7693,381949,0
CLSKW.US,D,20250114,000000,0.82,0.8788,0.7673,0.800101,260019,0
CLSKW.US,D,20250115,000000,0.8223,0.891,0.7835,0.8103,245557,0
CLSKW.US,D,20250116,000000,0.846,0.846,0.75,0.768,134192,0
CLSKW.US,D,20250117,000000,0.8,0.85,0.786,0.81,477830,0
CLSKW.US,D,20250121,000000,0.84,0.84001,0.76,0.79,227188,0
CLSKW.US,D,20250122,000000,0.769,0.82,0.75,0.8,130777,0
CLSKW.US,D,20250123,000000,0.819,0.827,0.7835,0.7999,94361,0
CLSKW.US,D,20250124,000000,0.8166,0.8301,0.785,0.7881,127343,0
CLSKW.US,D,20250127,000000,0.785,0.8195,0.7,0.715,188327,0
CLSKW.US,D,20250128,000000,0.768,0.798,0.68,0.7222,107152,0
CLSKW.US,D,20250129,000000,0.74,0.767,0.7101,0.725,45493,0
CLSKW.US,D,20250130,000000,0.767,0.7704,0.65,0.7099,196452,0
CLSKW.US,D,20250131,000000,0.717,0.73,0.7,0.7,96102,0
CLSKW.US,D,20250203,000000,0.65,0.703,0.65,0.6774,230432,0
CLSKW.US,D,20250204,000000,0.6936,0.71,0.6712,0.699,49382,0
CLSKW.US,D,20250205,000000,0.71,0.74,0.66,0.68,54512,0
CLSKW.US,D,20250206,000000,0.69,0.7366,0.674,0.69,99904,0
CLSKW.US,D,20250207,000000,0.75,0.8269,0.71,0.7215,205231,0
CLSKW.US,D,20250210,000000,0.73,0.7774,0.7,0.73,71263,0
CLSKW.US,D,20250211,000000,0.72,0.73,0.5,0.624,266362,0
CLSKW.US,D,20250212,000000,0.65,0.7,0.6,0.65,147435,0
CLSKW.US,D,20250213,000000,0.66,0.71,0.621,0.66,124130,0
