<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CEPI.US,D,20241205,000000,51.91,52.109,50.43,50.56,75496,0
CEPI.US,D,20241206,000000,50.88,51.83,50.88,51.5365,13755,0
CEPI.US,D,20241209,000000,52.01,52.01,50.1,50.11,30898,0
CEPI.US,D,20241210,000000,50.39,50.39,49.2363,49.36,27989,0
CEPI.US,D,20241211,000000,49.89,50.57,49.7754,50.47,11377,0
CEPI.US,D,20241212,000000,50.4978,50.78,50.0001,50.125,6453,0
CEPI.US,D,20241213,000000,50.632,50.64,50.2201,50.4,10329,0
CEPI.US,D,20241216,000000,50.83,52.0195,50.65,51.52,17639,0
CEPI.US,D,20241217,000000,51.49,51.49,50.91,51.25,6640,0
CEPI.US,D,20241218,000000,51.1289,51.41,48.08,48.44,11355,0
CEPI.US,D,20241219,000000,49.13,49.13,47.431,47.45,17028,0
CEPI.US,D,20241220,000000,47.01,48.36,47,48.25,11513,0
CEPI.US,D,20241223,000000,48.17,48.17,47.4826,47.92,9376,0
CEPI.US,D,20241224,000000,48.17,49.22,48.17,49.22,2274,0
CEPI.US,D,20241226,000000,48.87,49.05,48.56,48.93,9085,0
CEPI.US,D,20241227,000000,48.35,48.35,47.62,47.94,7238,0
CEPI.US,D,20241230,000000,47.24,47.47,46.56,47.14,8986,0
CEPI.US,D,20241231,000000,47.52,47.52,46.37,46.52,7112,0
CEPI.US,D,20250102,000000,46.99,47.11,46.67,47.11,5597,0
CEPI.US,D,20250103,000000,47.4966,49.14,47.47,49.14,5170,0
CEPI.US,D,20250106,000000,49.7499,50.195,49.7499,50.15,6840,0
CEPI.US,D,20250107,000000,50,50,49.03,49.03,4950,0
CEPI.US,D,20250108,000000,48.9,48.9,48.1,48.79,3313,0
CEPI.US,D,20250110,000000,48.06,48.36,47.71,48.25,5784,0
CEPI.US,D,20250113,000000,47.12,47.9,46.8487,47.9,11952,0
CEPI.US,D,20250114,000000,48.73,49.07,48.2685,48.53,4414,0
CEPI.US,D,20250115,000000,49.65,49.96,49.61,49.96,7056,0
CEPI.US,D,20250116,000000,50.1744,50.2399,49.8,50.1,18159,0
CEPI.US,D,20250117,000000,50.77,51.23,50.77,50.91,5144,0
CEPI.US,D,20250121,000000,51.28,51.28,50.5,50.8,11166,0
CEPI.US,D,20250122,000000,51.1293,51.4,50.95,51.4,8441,0
CEPI.US,D,20250123,000000,51.09,51.7757,51.09,51.6,7506,0
CEPI.US,D,20250124,000000,51.84,52.16,51.4929,51.7493,10152,0
CEPI.US,D,20250127,000000,50.14,50.14,47.79,48.4506,26933,0
CEPI.US,D,20250128,000000,47.33,47.33,46.5,47.2,47363,0
CEPI.US,D,20250129,000000,47.28,47.42,46.8,47.3001,28442,0
CEPI.US,D,20250130,000000,47.98,48.71,47.98,48.433,39185,0
CEPI.US,D,20250131,000000,48.81,49.14,48.12,48.2276,37742,0
CEPI.US,D,20250203,000000,46.72,48.2537,46.39,48.1075,31616,0
CEPI.US,D,20250204,000000,48.04,48.52,48.04,48.2869,22208,0
CEPI.US,D,20250205,000000,48.48,48.63,48.2,48.44,19676,0
CEPI.US,D,20250206,000000,48.71,49.98,48.051,48.52,16648,0
CEPI.US,D,20250207,000000,49.48,49.48,48.47,48.5678,10496,0
CEPI.US,D,20250210,000000,48.96,49.26,48.7505,49.01,27883,0
CEPI.US,D,20250211,000000,48.75,48.91,48.09,48.09,24205,0
CEPI.US,D,20250212,000000,47.61,48.41,47.48,48.3,23152,0
CEPI.US,D,20250213,000000,48.35,49.33,48.0486,49.32,25518,0
